station_id,lat,lon,page,details
ISRO0797,18.86,79.79,13,18.86 79.79  2009-08-05 2017-11-03 HOURLY 78  MROOFFICE  TAMSI  MANDAL ANDHRA  PRADESH 15F31C ISRO0796 19.69 78.43  2009
ISRO0798,19.69,78.43,13,19.69 78.43  2009-08-05 2018-12-19 HOURLY 79  MROOFFICE  UTNOOR  MANDAL ANDHRA  PRADESH 15F31D ISRO0797 19.37 78.78  200
ISRO0799,19.37,78.78,13,19.37 78.78  2009-08-13 2018-12-24 HOURLY 80  M.R.O.  Office  Wakdi  Mandal ANDHRA  PRADESH 15F31E ISRO0798 19.49 79.32 
ISRO0800,15.11,78.94,14,82  TASILDAR  OFFICE  KALASAPADU  (MANDAL) ANDHRA  PRADESH 15F320 ISRO0800 15.11 78.94  2009-08-05 2017-11-15 HOURLY 83 
ISRO0801,15.11,78.94,14,82  TASILDAR  OFFICE  KALASAPADU  (MANDAL) ANDHRA  PRADESH 15F320 ISRO0800 15.11 78.94  2009-08-05 2017-11-15 HOURLY 83 
ISRO0802,15.11,78.94,14,15.11 78.94  2009-08-05 2017-11-15 HOURLY 83  M.R.O.  Office  Khaji  pet  Mandal ANDHRA  PRADESH 15F321 ISRO0801 14.66 7
ISRO0803,14.66,78.77,14,14.66 78.77  2009-08-05 2017-11-15 HOURLY 84  M.R.O.  Office  Railway  kodur ANDHRA  PRADESH 15F322 ISRO0802 13.95 79.34
ISRO0804,13.95,79.34,14,13.95 79.34  2009-08-05 2018-11-03 HOURLY 85  M  R  O  OFFICE  KONDAPUR ANDHRA  PRADESH 15F323 ISRO0803 14.78 78.19  200
ISRO0805,14.78,78.19,14,14.78 78.19  2009-08-05 2018-11-04 HOURLY 86  THASILDAR  OFFICE  NANDALUR ANDHRA  PRADESH 15F324 ISRO0804 14.29 79.12  2
ISRO0806,14.29,79.12,14,"ISRO0804 14.29 79.12  2009-08-05 2018-11-03 HOURLY 87  MRO  OFFICE,VEERAPUNAYUNIPALLY ANDHRA  PRADESH 15F325 ISRO0805 14"
ISRO0807,16.95,82.23,15,"89  Tasildar  Office,kakinada ANDHRA  PRADESH 15F327 ISRO0807 16.95 82.23  2009-09-22 2017-11-19 HOURLY 90  MRO  OFFICE,"
ISRO0808,16.95,82.23,15,"89  Tasildar  Office,kakinada ANDHRA  PRADESH 15F327 ISRO0807 16.95 82.23  2009-09-22 2017-11-19 HOURLY 90  MRO  OFFICE,"
ISRO0809,16.95,82.23,15,"16.95 82.23  2009-09-22 2017-11-19 HOURLY 90  MRO  OFFICE,kothapally  mandal ANDHRA  PRADESH 15F328 ISRO0808 17.08 82.32"
ISRO0810,17.08,82.32,15,"17.08 82.32  2009-09-22 2018-12-12 HOURLY 91  MRO  OFFICE,MULKIPURAM ANDHRA  PRADESH 15F329 ISRO0809 16.41 81.81  2009-0"
ISRO0811,16.41,81.81,15,"16.41 81.81  2009-08-05 2018-12-11 HOURLY 92  MRO  OFFICE,Mumidivaram ANDHRA  PRADESH 15F32A ISRO0810 16.64 82.10  2009-"
ISRO0812,16.64,82.1,15,"16.64 82.10  2009-09-22 2018-12-11 HOURLY 93  Tasildar  Office,DeltaGannavaram,gannavaram  Mandal ANDHRA  PRADESH 15F32B"
ISRO0813,16.59,80.9,15,16.59 80.90  2009-10-04 2018-12-12 HOURLY 94  M.R.O.  OFFICE  Peddapuram  mandal ANDHRA  PRADESH 15F32C ISRO0812 17.07 8
ISRO0814,16.1,80.65,16,PRADESH 08-15 12-22 96  M.R.O.  OFFICE  Amruthalur ANDHRA  PRADESH 15F32E ISRO0814 16.10 80.65  2009-09-22 2017-08-01 HO
ISRO0815,16.1,80.65,16,PRADESH 08-15 12-22 96  M.R.O.  OFFICE  Amruthalur ANDHRA  PRADESH 15F32E ISRO0814 16.10 80.65  2009-09-22 2017-08-01 HO
ISRO0816,16.1,80.65,16,16.10 80.65  2009-09-22 2017-08-01 HOURLY 97  Tasildar  office-Nizam  patnam  mandal- ANDHRA  PRADESH 15F32F ISRO0815 15
ISRO0817,15.99,80.66,16,15.99 80.66  2010-08-15 2019-01-19 HOURLY 98  The  Tahsildar-Mahadevpur  Mandal ANDHRA  PRADESH 15F330 ISRO0816 18.73 79
ISRO0818,17.94,80.82,16,79.98  2010-08-15 2024-09-04 HOURLY 99  The  Tahsildar-Manuguru  Mandal ANDHRA  PRADESH 15F331 ISRO0817 17.94 80.82  201
ISRO0819,16.19,81.14,17,●    DashBoard ●    Order  ●    Status  ●    Account  ●    0   ● Datasource:   In-situ   Category:   AMS   AWS   AWSAGRI
