station_id,lat,lon,n_raw_rows,status,reason,n_daily_valid,rain_max_daily_mm,monsoon_coverage_pct
ISRO0097_15F061(VISWANATH CHARAL),26.7219444,93.1519444,1,FAIL,stuck -- only 1 unique daily increments in entire record,0,,
ISRO0099_15F063(SIBSAGAR),26.9244444,94.7366666,2057,FAIL,no monsoon-season data (Jun-Sep) at all,0,,
ISRO0100_15F064(NELI),26.0847222,92.3044444,3,FAIL,no_data -- zero valid rain increments after processing,0,,
ISRO0107_15F06B(TINSUKIA),27.4602777,95.3172222,1967,FAIL,stuck -- only 1 unique daily increments in entire record,0,,
ISRO1064_15F428(TRA. Silcuri),24.733055,92.787224,1715,FAIL,stuck -- only 1 unique daily increments in entire record,0,,
ISRO1068_15F42C(TRA. Jorhat),26.730833,94.22667,4098,PASS,"ok (type=daily_cumulative, spikes_clipped=0)",166,169.0,21.721311475409834
ISRO1069_15F42D(TRA. Dikom),27.466667,95.08889,7338,PASS,"ok (type=daily_cumulative, spikes_clipped=0)",213,136.0,29.508196721311474
ISRO1071_15F42F(Ananda),27.44861,94.22945,4552,PASS,"ok (type=daily_cumulative, spikes_clipped=0)",205,210.0,27.86885245901639
ISRO1072_15F430(Nagrijuli),26.713612,91.67555,526,FAIL,stuck -- only 2 unique daily increments in entire record,0,,
ISRO1073_15F431(Gingia),26.083055,93.01639,217,FAIL,insufficient monsoon-season coverage -- 12.7% < 20.0% required,0,,
ISRO1074_15F432(Salonah),26.445833,92.975,6728,PASS,"ok (type=daily_cumulative, spikes_clipped=0)",201,187.0,27.86885245901639
ISRO1101_15F44D(Regional Science Centre. Khanpara. Guwhathi),26.120556,91.81639,3227,PASS,"ok (type=daily_cumulative, spikes_clipped=0)",171,85.0,83.33333333333334
ISRO1102_15F44E(North Guwhathi College. North Guwhathi),26.202223,91.715836,5986,PASS,"ok (type=daily_cumulative, spikes_clipped=13)",199,400.0,29.098360655737704
ISRO1103_15F44F(Goalpara Degree College.Goalpara),26.171389,90.62722,4275,FAIL,stuck -- only 1 unique daily increments in entire record,0,,
ISRO1104_15F450(Dhemaji Degree College. Dhemaji),27.475555,94.55167,8743,PASS,"ok (type=daily_cumulative, spikes_clipped=7)",193,400.0,27.459016393442624
ISRO1106_15F452(Rangiya Degree College. Rangiya),26.426945,91.61389,8799,PASS,"ok (type=daily_cumulative, spikes_clipped=0)",189,246.0,26.229508196721312
ISRO1107_15F453(Assam Science Technology & Engironment Council. Christan Bhasti. Guwhati),26.161388,91.77333,4081,FAIL,stuck -- only 1 unique daily increments in entire record,0,,
ISRO1108_15F454(Majuli Degree College. Kamalabari. Majuli),26.952778,94.17083,2368,FAIL,stuck -- only 1 unique daily increments in entire record,0,,
ISRO1109_15F455(Sonari Degree College. Sonari. Sivsagar),27.028334,95.024445,8446,FAIL,stuck -- only 1 unique daily increments in entire record,0,,
ISRO1110_15F456(Duliajan Degree College. Duliajan),27.344723,95.313614,6728,FAIL,stuck -- only 1 unique daily increments in entire record,0,,
ISRO1111_15F457(Sadiya Govt Higher Secondary School . Sadiya),27.908056,95.76667,1261,FAIL,stuck -- only 1 unique daily increments in entire record,0,,
ISRO1112_15F458(President. Gharowa. Lumding),25.751112,93.178055,8719,PASS,"ok (type=daily_cumulative, spikes_clipped=0)",189,261.0,26.229508196721312
ISRO1113_15F459(Higher Secondary School. Hamren.),25.854166,92.586945,73,FAIL,stuck -- only 2 unique daily increments in entire record,0,,
ISRO1114_15F45A(Sri Kishan Sarda Degree College HailaKandi.),24.69111,92.56472,1289,FAIL,"dead -- 93% zeros, max monsoon rainfall 0.0mm < 10.0mm threshold",0,,
